baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AAG03440	3.64763063468437	-1.06544202733936	0.78082021154324	-1.36451645537401	0.172405078785516	0.260197935219696
AAG03442	2.7619316803106	1.39712903673635	1.21081094475429	1.15387876430194	0.2485498764932	0.346725172624648
AAG03443	46.766505399963	-1.75038871729864	0.295309233494627	-5.92730778033898	3.07941481622733e-09	2.63123707302054e-08
AAG03447	17.6039995135307	1.91141413758458	0.334885431690895	5.70766583644298	1.14536005994717e-08	8.93380846758796e-08
AAG03449	118.521003496431	1.75670799923449	0.283056133558923	6.20621774609522	5.42749648848448e-10	5.28237626151965e-09
AAG03450	52.8391970201917	1.54249636575926	0.308863635591749	4.99410156460798	5.91102865439866e-07	3.4928805685083e-06
AAG03452	23.2668237242161	1.24536103479103	0.390670372854202	3.18775397707415	0.00143382475853863	0.00415094548336211
AAG03454	46.8764081215997	-1.6018994261712	0.298140822950798	-5.3729623817251	7.74534922861733e-08	5.35421967015335e-07
AAG03455	47.6975755591207	-1.64328353463461	0.273865472400549	-6.00033118534629	1.96915479932343e-09	1.71750562369105e-08
AAG03456	40.2741421842283	-1.38711547626459	0.299509891746367	-4.63128435650878	3.63404364913912e-06	1.86133943004687e-05
AAG03459	41.2935526932372	2.64599013733697	0.302730083877909	8.74042679684288	2.32231415343459e-18	6.70890755436659e-17
AAG03460	595.351651289805	-3.17788012450448	0.309962544116655	-10.2524649665686	1.15363349301201e-24	5.88676530079023e-23
AAG03461	498.317925623407	-1.5977019961459	0.223918624356545	-7.13519029842685	9.66533463277943e-13	1.33601840746774e-11
AAG03462	36.3225831664438	-2.52238277690263	0.416013850889276	-6.06321825946603	1.33424406114317e-09	1.19035499572577e-08
AAG03463	11.1041299634363	-1.80532297390622	0.557366007062739	-3.23902597400957	0.00119938650445882	0.00354748121037116
AAG03464	194.51401167675	-2.80292673866393	0.255034268085945	-10.9903926233135	4.25072931107677e-28	2.7629740521999e-26
AAG03465	38.9467107673825	-3.48587784504492	0.469952332366679	-7.41751366035369	1.19339383377854e-13	1.89416579431129e-12
AAG03466	29.159708400048	-5.0456389049084	0.777502861499339	-6.48954383933504	8.60966521329212e-11	9.1814007938623e-10
AAG03467	220.106036982988	-2.82696710896739	0.246954969344648	-11.4472979283203	2.42589847426514e-30	1.94785377492465e-28
AAG03468	64.9585361424379	-3.17042262168546	0.382823910064352	-8.28167347528663	1.21456239662521e-16	2.83397892545882e-15
AAG03469	83.8507977905113	-1.98897803344489	0.298989145565454	-6.65234194265915	2.884655388464e-11	3.30193258302169e-10
AAG03470	30.8793282141989	-2.35201464978474	0.379728129253775	-6.19394368915154	5.8677197361984e-10	5.65039678300587e-09
AAG03471	165.524367475743	-1.49705080855502	0.241286138026087	-6.20446255554544	5.4884138748507e-10	5.33011178982078e-09
AAG03472	158.992684416475	-1.70959419630345	0.385714716854568	-4.43227629540525	9.32434247454455e-06	4.38887154405286e-05
AAG03473	311.792161467223	-2.06855128932476	0.403556378364991	-5.12580496857835	2.9626917351193e-07	1.87442605721337e-06
AAG03474	727.689245161524	-2.54498628461465	0.37904766774685	-6.71415893347309	1.89154053121339e-11	2.21152276240366e-10
AAG03475	288.161428245628	-3.32409225973307	0.392102082901269	-8.47761948913206	2.29848255528933e-17	5.7832786875022e-16
AAG03476	38.1423764026085	-1.75784529563265	0.436358853397901	-4.02843962473641	5.61482756485195e-05	0.000225584683620983
AAG03477	44.5815953628989	-2.034428290192	0.437135043836861	-4.65400410897106	3.25550310248728e-06	1.6864370910418e-05
AAG03478	94.0231734806489	-3.07930321997057	0.367445437221414	-8.38030060532512	5.27926966089833e-17	1.26981552196057e-15
AAG03479	87.7327661373425	-3.0677742786572	0.462662363223893	-6.63069772367163	3.34103801369085e-11	3.78466131841328e-10
AAG03480	238.339389558031	-2.68406448328256	0.383855660027092	-6.99237959157127	2.70262441291525e-12	3.53868808021996e-11
AAG03481	180.720932662282	-3.60058339214994	0.394431684564518	-9.12853488462837	6.94325464510348e-20	2.41466053262834e-18
AAG03482	10.7201096353429	-1.67074399111561	0.540574353340366	-3.0906830499664	0.00199696672318042	0.00558006054686035
AAG03483	47.9818619053217	-2.11628189031514	0.320152786329331	-6.61022480728368	3.83736835673352e-11	4.30226513917146e-10
AAG03484	19.0324846250488	-2.56398837569339	0.576063140100688	-4.45088081012307	8.55187992079434e-06	4.03571861430744e-05
AAG03485	224.427438780729	-1.16346633118948	0.266300282789016	-4.36900148585748	1.24815917487022e-05	5.69335763975889e-05
