Module	Transcript_Id	Locus_Tag	Expression_Fold_Change	Expression_Pvalue	FoldChange_Module	FisherTest_Module
14	AAG03591	PA0202	3.56556684849866	0.355605560312068	1.6809445921079536	6.550870054366697e-10
14	AAG03599	PA0210	2.12934476481094	0.053448475557061	1.6809445921079536	6.550870054366697e-10
14	AAG05810	PA2422	-1.17950718047107	0.0627252148760415	1.6809445921079536	6.550870054366697e-10
14	AAG06577	PA3189	1.60357776532302	0.0674413683964453	1.6809445921079536	6.550870054366697e-10
14	AAG07536	PA4149	1.19210109040199	0.154292615478713	1.6809445921079536	6.550870054366697e-10
14	AAG07538	PA4151	1.02440476635832	0.0723854476196446	1.6809445921079536	6.550870054366697e-10
14	AAG08314	PA4929	1.01547283763767	0.0627597085551558	1.6809445921079536	6.550870054366697e-10
23	AAG05290	PA1901	1.11043017306903	0.481861606885798	2.0342465753424657	4.719928701540611e-08
23	AAG05784	PA2396	3.6413523141298	0.260935562925614	2.0342465753424657	4.719928701540611e-08
23	AAG05786	PA2398	3.6413523141298	0.260935562925614	2.0342465753424657	4.719928701540611e-08
24	AAG04108	PA0719	-2.41327591886002	0.0539977268602037	1.2449853228962817	0.02973931081815017
24	AAG06876	PA3488	2.35417021320273	0.560093481668728	1.2449853228962817	0.02973931081815017
24	AAG06969	PA3581	1.31175480945299	0.339634846950557	1.2449853228962817	0.02973931081815017
24	AAG06972	PA3584	1.07910134169577	0.430337431779111	1.2449853228962817	0.02973931081815017
25	AAG05743	PA2355	1.19928209428877	0.078245147004732	1.1344836670179135	0.07868524100900989
25	AAG06765	PA3377	1.04020269441653	0.30093354127687	1.1344836670179135	0.07868524100900989
25	AAG06769	PA3381	1.99910775748926	0.102573364560977	1.1344836670179135	0.07868524100900989
28	AAG04539	PA1150	3.46952012423231	0.370673651303517	1.584526774595268	0.002427593558964751
28	AAG04541	PA1152	4.15520522989773	0.0807568442908989	1.584526774595268	0.002427593558964751
28	AAG07128	PA3741	1.25450271585544	0.0544967045215511	1.584526774595268	0.002427593558964751
32	AAG04709	PA1320	1.01503175655356	0.100752086693438	1.4748287671232876	0.008813604208295828
36	AAG07264	PA3877	1.41869417185333	0.0653190823741499	1.608904109589041	0.0068076025806239745
36	AAG07302	PA3915	1.40971397061557	0.100863699359709	1.608904109589041	0.0068076025806239745
41	AAG05084	PA1695	1.24415793739744	0.09411258525033	2.0626975763962063	0.00023127620366302003
41	AAG05090	PA1701	1.23705610540403	0.114767212382427	2.0626975763962063	0.00023127620366302003
44	AAG05452	PA2064	-1.37886451234276	0.296638572937704	1.340753424657534	0.09681279498396964
44	AAG06007	PA2619	-1.05770557941951	0.0846397995989944	1.340753424657534	0.09681279498396964
47	AAG05902	PA2514	1.07469388901249	0.296638572937704	1.2188667496886676	0.17719435166537276
