baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PA0074	413.38029594454	-1.17464378140259	0.25016956332675	-4.69539046150219	2.66097934583059e-06	7.10612561794263e-06
PA0077	593.430729759459	-0.799818631475478	0.199968337369901	-3.99972636665961	6.34157645856584e-05	0.000145725773434698
PA0078	244.855055133955	-0.708311097385611	0.187531725149209	-3.77702011124809	0.000158715920082857	0.000347556744212813
PA0083	577.005421709919	-1.24403082286295	0.161538099599391	-7.7011604441807	1.34836059924856e-14	6.31118657686838e-14
PA0084	1650.69805476649	-1.12946258142922	0.144896933602692	-7.79493777643501	6.4440225166933e-15	3.08605675241984e-14
PA0085	1623.90064252084	-1.93245714881739	0.169858740128405	-11.3768484763077	5.45350306396404e-30	5.22338955560466e-29
PA0086	260.209411032689	-0.813985414955792	0.217639104707765	-3.74006967198643	0.000183969254625399	0.000399721524446781
PA0087	91.2431524003893	-0.995912693764573	0.272316519023404	-3.65718795663284	0.000254997399511984	0.000543890557247868
PA0088	222.417393383609	-1.35946675702611	0.196253366657644	-6.9271003100683	4.2955401386257e-12	1.75852610953709e-11
PA0089	99.4910838059526	-1.4762289586513	0.229755993784339	-6.42520325296483	1.31693433359358e-10	4.93872486150876e-10
PA0090	606.882089421946	-1.46362567119658	0.222505326455319	-6.57793543423551	4.77025270076326e-11	1.83451040503182e-10
PA0091	312.394806747875	-1.32359390380761	0.201347454123792	-6.57368085217424	4.90863867498241e-11	1.88383768804823e-10
PA0094	157.175708613611	-1.16154046074359	0.177334149293656	-6.55001005373275	5.75332100609796e-11	2.19894212854559e-10
PA0095	579.147785049843	-0.663942995632794	0.153588407130001	-4.32287181070129	1.54011227467468e-05	3.78187640359867e-05
PA0096	43.3246313685027	-1.77498883861717	0.320088722446574	-5.54530264312398	2.93446157753461e-08	9.2004679668463e-08
PA0097	121.044129031294	-1.48697961964938	0.224465406175619	-6.62453803008729	3.48335832102558e-11	1.34609500793127e-10
PA0098	69.2636807482761	-1.30947184875729	0.282894829117838	-4.6288292113386	3.67738890759515e-06	9.64968968985494e-06
PA0099	196.748099960489	-2.18985037092392	0.181423061917758	-12.070407961236	1.51381962886126e-33	1.6979218114563e-32
PA0100	334.943670242842	-1.75413814771625	0.163640162311522	-10.7194842814742	8.24618359143758e-27	6.9767710870587e-26
PA0101	162.232383862385	-1.28595428672406	0.180123499432108	-7.13929215665034	9.38127511299397e-13	4.00803674299605e-12
PA0102	678.662232124277	-2.54075064169473	0.154417426997983	-16.4537817465895	7.87912485529558e-61	2.15671731333189e-59
PA0103	238.284507957748	-3.61812183484528	0.228410354258439	-15.8404457914876	1.63656494393516e-56	3.80774110288913e-55
PA0104	74.5039664697558	-2.31582860917191	0.288136846993648	-8.03725255320423	9.18751820396222e-16	4.59293658468442e-15
